"mouse_ID","drosophila_ID","orthotype_mouse_drosophila","omagroup_mouse_drosophila"
"ENSMUSG00000019762","FBgn0036125","1:1",538990
"ENSMUSG00000061759","FBgn0028892","1:m",NA
"ENSMUSG00000061759","FBgn0034688","1:m",718287
"ENSMUSG00000019767","FBgn0263079","1:1",792965
"ENSMUSG00000019774","FBgn0032486","1:1",847660
"ENSMUSG00000019795","FBgn0086768","1:1",803623
"ENSMUSG00000040034","FBgn0038609","1:1",817225
"ENSMUSG00000019794","FBgn0040208","n:1",NA
"ENSMUSG00000019790","FBgn0030412","n:1",789818
"ENSMUSG00000019820","FBgn0260003","n:1",549506
"ENSMUSG00000078348","FBgn0040534","1:1",793617
"ENSMUSG00000019817","FBgn0030009","1:1",NA
"ENSMUSG00000019815","FBgn0261561","1:1",NA
"ENSMUSG00000019814","FBgn0027525","1:1",843096
"ENSMUSG00000019810","FBgn0036169","1:1",NA
"ENSMUSG00000019809","FBgn0036484","1:1",495780
"ENSMUSG00000019808","FBgn0038491","1:1",722333
"ENSMUSG00000019806","FBgn0031244","1:m",NA
"ENSMUSG00000019806","FBgn0031245","1:m",739631
"ENSMUSG00000019806","FBgn0036158","1:m",NA
"ENSMUSG00000019868","FBgn0035251","1:1",547797
"ENSMUSG00000019865","FBgn0033058","n:1",NA
"ENSMUSG00000039891","FBgn0003721","1:1",NA
"ENSMUSG00000039879","FBgn0010113","1:1",847374
"ENSMUSG00000019854","FBgn0032341","1:1",NA
"ENSMUSG00000059554","FBgn0031395","1:1",NA
"ENSMUSG00000019852","FBgn0029834","1:1",837023
"ENSMUSG00000020003","FBgn0035922","1:1",817342
"ENSMUSG00000071369","FBgn0014006","n:1",856170
"ENSMUSG00000019977","FBgn0042712","1:1",863720
"ENSMUSG00000061983","FBgn0260441","n:1",NA
"ENSMUSG00000019998","FBgn0086377","n:1",795546
"ENSMUSG00000020000","FBgn0036565","1:1",738336
"ENSMUSG00000019984","FBgn0034795","1:1",776724
"ENSMUSG00000019987","FBgn0023535","n:1",856719
"ENSMUSG00000019792","FBgn0037250","1:1",772080
"ENSMUSG00000019791","FBgn0054015","1:1",714499
"ENSMUSG00000039697","FBgn0013576","n:1",770993
