"human_name","human_ID","mouse_ID","drosophila_ID","baboon_ID","rat_ID","zebrafish_ID","anopheles_ID","aedes_ID","cflo_ID"
"iodotyrosine deiodinase 1 isoform 2 precursor","IYD","ENSMUSG00000019762","FBgn0036125","ENSPANG00000026300","ENSRNOG00000016286","ENSDARG00000076056","AGAP005435","AAEL009735","LOC105256572"
"damage-control phosphatase ARMT1 isoform a","ARMT1","ENSMUSG00000061759","FBgn0028892","ENSPANG00000006927","ENSRNOG00000019489","ENSDARG00000055676",NA,NA,"LOC105248377"
"damage-control phosphatase ARMT1 isoform a","ARMT1","ENSMUSG00000061759","FBgn0034688","ENSPANG00000006927","ENSRNOG00000019489","ENSDARG00000055676","AGAP010723","AAEL014107","LOC105248377"
"coiled-coil domain-containing protein 170, coiled-coil domain-containing protein 170 isoform X1","CCDC170","ENSMUSG00000019767","FBgn0263079","ENSPANG00000001110","ENSRNOG00000024280","ENSDARG00000016161","AGAP007734","AAEL014253","LOC105249843"
"peptide chain release factor 1-like, mitochondrial isoform 1","MTRF1L","ENSMUSG00000019774","FBgn0032486",NA,"ENSRNOG00000018773","ENSDARG00000060005","AGAP012082",NA,"LOC105253688"
NA,"PCMT1","ENSMUSG00000019795","FBgn0086768","ENSPANG00000009443","ENSRNOG00000014330","ENSDARG00000015201","AGAP000457","AAEL012811",NA
"nucleoporin Nup43","NUP43","ENSMUSG00000040034","FBgn0038609","ENSPANG00000016954","ENSRNOG00000049505","ENSDARG00000043884","AGAP000480","AAEL013058","LOC105256332"
NA,"KATNA1","ENSMUSG00000019794","FBgn0040208","ENSPANG00000022186","ENSRNOG00000014996","ENSDARG00000021827","AGAP001783","AAEL015520",NA
"syntaxin-binding protein 5 isoform X4, syntaxin-binding protein 5 isoform b, syntaxin-binding protein 5 isoform a, syntaxin-binding protein 5 isoform X1","STXBP5","ENSMUSG00000019790","FBgn0030412","ENSPANG00000016094","ENSRNOG00000013351","ENSDARG00000002656","AGAP000009","AAEL011719","LOC105253306"
NA,"UTRN","ENSMUSG00000019820","FBgn0260003","ENSPANG00000025376","ENSRNOG00000011058",NA,NA,"AAEL014388",NA
"splicing factor 3B subunit 5","SF3B5","ENSMUSG00000078348","FBgn0040534","ENSPANG00000018533","ENSRNOG00000014908","ENSDARG00000016855","AGAP011907","AAEL007637","LOC105253934"
NA,"PLAGL1","ENSMUSG00000019817","FBgn0030009",NA,NA,"ENSDARG00000105983","AGAP007973","AAEL006948",NA
NA,"ZC2HC1B","ENSMUSG00000019815","FBgn0261561","ENSPANG00000021829","ENSRNOG00000042705",NA,"AGAP008222",NA,NA
NA,"AL049844.3","ENSMUSG00000019814","FBgn0027525","ENSPANG00000011063","ENSRNOG00000015217","ENSDARG00000008490","AGAP008616","AAEL006688",NA
"protein LTV1 homolog isoform 1","LTV1","ENSMUSG00000019810","FBgn0036169","ENSPANG00000024444","ENSRNOG00000015551","ENSDARG00000044073","AGAP008692","AAEL008798","LOC105248866"
"plasma alpha-L-fucosidase precursor","FUCA2","ENSMUSG00000019809","FBgn0036484","ENSPANG00000026233","ENSRNOG00000015660","ENSDARG00000013973","AGAP008855",NA,"LOC105259371"
"peroxisomal biogenesis factor 3","PEX3","ENSMUSG00000019808","FBgn0038491","ENSPANG00000023970","ENSRNOG00000046983","ENSDARG00000041944",NA,"AAEL000950","LOC105253886"
"tRNA-specific adenosine deaminase 2 isoform a","ADAT2","ENSMUSG00000019806","FBgn0031244","ENSPANG00000014550","ENSRNOG00000010753","ENSDARG00000007171","AGAP010572","AAEL010653","LOC105256078"
"androgen-induced gene 1 protein isoform b, androgen-induced gene 1 protein isoform e, androgen-induced gene 1 protein isoform g, androgen-induced gene 1 protein isoform h, androgen-induced gene 1 protein isoform i, androgen-induced gene 1 protein isoform j, androgen-induced gene 1 protein isoform k, androgen-induced gene 1 protein isoform l, androgen-induced gene 1 protein isoform m, androgen-induced gene 1 protein isoform a","AIG1","ENSMUSG00000019806","FBgn0031245","ENSPANG00000014550","ENSRNOG00000010753","ENSDARG00000007171","AGAP007285","AAEL011781","LOC105254208"
"androgen-induced gene 1 protein isoform b, androgen-induced gene 1 protein isoform e, androgen-induced gene 1 protein isoform g, androgen-induced gene 1 protein isoform h, androgen-induced gene 1 protein isoform i, androgen-induced gene 1 protein isoform j, androgen-induced gene 1 protein isoform k, androgen-induced gene 1 protein isoform l, androgen-induced gene 1 protein isoform m, androgen-induced gene 1 protein isoform a","AIG1","ENSMUSG00000019806","FBgn0036158","ENSPANG00000014550","ENSRNOG00000010753","ENSDARG00000007171","AGAP002507","AAEL013289","LOC105254208"
