mouse_ID,drosophila_ID,baboon_ID,human_ID,rat_ID,zebrafish_ID,anopheles_ID,aedes_ID
ENSMUSG00000019762,FBgn0036125,ENSPANG00000026300,IYD,ENSRNOG00000016286,ENSDARG00000076056,AGAP005435,AAEL009735
ENSMUSG00000061759,FBgn0028892,ENSPANG00000006927,ARMT1,ENSRNOG00000019489,ENSDARG00000055676,,
ENSMUSG00000061759,FBgn0034688,ENSPANG00000006927,ARMT1,ENSRNOG00000019489,ENSDARG00000055676,AGAP010723,AAEL014107
ENSMUSG00000019767,FBgn0263079,ENSPANG00000001110,CCDC170,ENSRNOG00000024280,ENSDARG00000016161,AGAP007734,AAEL014253
ENSMUSG00000019774,FBgn0032486,,MTRF1L,ENSRNOG00000018773,ENSDARG00000060005,AGAP012082,
ENSMUSG00000019795,FBgn0086768,ENSPANG00000009443,PCMT1,ENSRNOG00000014330,ENSDARG00000015201,AGAP000457,AAEL012811
ENSMUSG00000040034,FBgn0038609,ENSPANG00000016954,NUP43,ENSRNOG00000049505,ENSDARG00000043884,AGAP000480,AAEL013058
ENSMUSG00000019794,FBgn0040208,ENSPANG00000022186,KATNA1,ENSRNOG00000014996,ENSDARG00000021827,AGAP001783,AAEL015520
ENSMUSG00000019790,FBgn0030412,ENSPANG00000016094,STXBP5,ENSRNOG00000013351,ENSDARG00000002656,AGAP000009,AAEL011719
ENSMUSG00000019820,FBgn0260003,ENSPANG00000025376,UTRN,ENSRNOG00000011058,,,AAEL014388
ENSMUSG00000078348,FBgn0040534,ENSPANG00000018533,SF3B5,ENSRNOG00000014908,ENSDARG00000016855,AGAP011907,AAEL007637
ENSMUSG00000019817,FBgn0030009,,PLAGL1,,ENSDARG00000105983,AGAP007973,AAEL006948
ENSMUSG00000019815,FBgn0261561,ENSPANG00000021829,ZC2HC1B,ENSRNOG00000042705,,AGAP008222,
ENSMUSG00000019814,FBgn0027525,ENSPANG00000011063,AL049844.3,ENSRNOG00000015217,ENSDARG00000008490,AGAP008616,AAEL006688
ENSMUSG00000019810,FBgn0036169,ENSPANG00000024444,LTV1,ENSRNOG00000015551,ENSDARG00000044073,AGAP008692,AAEL008798
ENSMUSG00000019809,FBgn0036484,ENSPANG00000026233,FUCA2,ENSRNOG00000015660,ENSDARG00000013973,AGAP008855,
ENSMUSG00000019808,FBgn0038491,ENSPANG00000023970,PEX3,ENSRNOG00000046983,ENSDARG00000041944,,AAEL000950
ENSMUSG00000019806,FBgn0031244,ENSPANG00000014550,ADAT2,ENSRNOG00000010753,ENSDARG00000007171,AGAP010572,AAEL010653
ENSMUSG00000019806,FBgn0031245,ENSPANG00000014550,AIG1,ENSRNOG00000010753,ENSDARG00000007171,AGAP007285,AAEL011781
ENSMUSG00000019806,FBgn0036158,ENSPANG00000014550,AIG1,ENSRNOG00000010753,ENSDARG00000007171,AGAP002507,AAEL013289
ENSMUSG00000019868,FBgn0035251,ENSPANG00000004286,AIG1,ENSRNOG00000011540,ENSDARG00000013732,,
ENSMUSG00000019865,FBgn0033058,,VTA1,ENSRNOG00000012103,ENSDARG00000054152,,AAEL006676
ENSMUSG00000039891,FBgn0003721,ENSPANG00000000622,NMBR,ENSRNOG00000060021,,AGAP008626,
ENSMUSG00000039879,FBgn0010113,ENSPANG00000006924,TXLNB,ENSRNOG00000060972,ENSDARG00000042877,,AAEL014549
ENSMUSG00000019854,FBgn0032341,ENSPANG00000011061,HECA,ENSRNOG00000059224,ENSDARG00000002877,AGAP007542,
ENSMUSG00000059554,FBgn0031395,ENSPANG00000006096,REPS1,ENSRNOG00000053347,ENSDARG00000022983,,
ENSMUSG00000019852,FBgn0029834,ENSPANG00000013002,CCDC28A,ENSRNOG00000011460,ENSDARG00000077656,,
ENSMUSG00000020003,FBgn0035922,ENSPANG00000023965,ARFGEF3,ENSRNOG00000012322,ENSDARG00000042553,,AAEL009428
