cflo,human,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_011250435.1,NP_001363746.1,9.00E-154,456,2.00E-152,451
XP_011250435.1,NP_001363779.1,4.00E-152,450,4.00E-151,446
XP_011250435.1,NP_001363781.1,1.00E-152,451,2.00E-151,446
XP_011250435.1,NP_065874.2,7.00E-154,456,5.00E-153,452
XP_011250435.1,XP_011534303.1,5.00E-152,450,7.00E-151,446
XP_011250435.1,XP_011534304.1,2.00E-152,451,4.00E-151,446
XP_011250441.1,NP_001028729.1,8.00E-149,432,2.00E-149,432
XP_011250441.1,NP_002697.1,1.00E-148,435,4.00E-149,435
XP_011250441.1,NP_066283.1,4.00E-145,422,1.00E-145,422
XP_011250441.1,NP_808821.2,4.00E-144,422,4.00E-145,424
XP_011250441.1,NP_808907.1,3.00E-148,431,8.00E-149,431
XP_011250441.1,XP_005267836.1,4.00E-145,422,1.00E-145,422
XP_011250441.1,XP_005267838.1,4.00E-145,422,1.00E-145,422
XP_011250441.1,XP_011531238.1,2.00E-148,433,7.00E-149,433
XP_011250441.1,XP_011535174.1,2.00E-144,422,5.00E-145,423
XP_011250441.1,XP_011535178.1,2.00E-144,422,5.00E-145,423
XP_011250441.1,XP_011535179.1,2.00E-144,422,5.00E-145,423
XP_011250441.1,XP_011535180.1,4.00E-145,422,1.00E-145,422
XP_011250441.1,XP_011535181.1,4.00E-145,422,1.00E-145,422
XP_011250441.1,XP_011535182.1,4.00E-145,422,1.00E-145,422
XP_011250441.1,XP_011535183.1,4.00E-145,422,1.00E-145,422
XP_011250441.1,XP_011535184.1,4.00E-145,422,1.00E-145,422
XP_011250441.1,XP_011535185.1,4.00E-145,422,1.00E-145,422
XP_011250441.1,XP_016859884.1,2.00E-145,427,5.00E-146,427
XP_011250441.1,XP_016859885.1,2.00E-145,426,6.00E-146,426
XP_011250441.1,XP_016859886.1,3.00E-145,423,8.00E-146,423
XP_011250441.1,XP_016876870.1,5.00E-144,422,1.00E-144,423
XP_011250441.1,XP_016876871.1,2.00E-144,422,5.00E-145,423
XP_011250441.1,XP_016876872.1,7.00E-145,423,2.00E-145,423
XP_011250441.1,XP_016876873.1,4.00E-145,422,1.00E-145,422
XP_011250441.1,XP_016876874.1,4.00E-145,422,1.00E-145,422
XP_011250441.1,XP_016876875.1,4.00E-145,422,1.00E-145,422
XP_011250441.1,XP_016876876.1,4.00E-145,422,1.00E-145,422
XP_011250441.1,XP_024305405.1,4.00E-145,422,1.00E-145,422
XP_011250444.1,NP_006181.1,2.00E-94,305,4.00E-93,300
XP_011250444.1,XP_006712618.1,2.00E-94,305,4.00E-93,300
XP_011250444.1,XP_011509554.1,7.00E-94,304,2.00E-92,299
XP_011250444.1,XP_011509555.1,7.00E-94,304,2.00E-92,299
XP_011250445.2,NP_001316545.1,4.00E-103,342,1.00E-103,343
XP_011250445.2,XP_011512586.1,4.00E-103,342,1.00E-103,343
XP_011250445.2,XP_011512587.1,4.00E-103,342,1.00E-103,343
XP_011250445.2,XP_011512588.1,4.00E-103,342,1.00E-103,343
XP_011250445.2,XP_011512589.1,4.00E-103,342,1.00E-103,343
XP_011250445.2,XP_011512590.1,2.00E-103,342,6.00E-104,343
XP_011250447.1,NP_001028729.1,8.00E-149,432,2.00E-149,432
XP_011250447.1,NP_002697.1,1.00E-148,435,4.00E-149,435
XP_011250447.1,NP_066283.1,4.00E-145,422,1.00E-145,422
XP_011250447.1,NP_808821.2,4.00E-144,422,4.00E-145,424
XP_011250447.1,NP_808907.1,3.00E-148,431,8.00E-149,431
XP_011250447.1,XP_005267836.1,4.00E-145,422,1.00E-145,422
XP_011250447.1,XP_005267838.1,4.00E-145,422,1.00E-145,422
XP_011250447.1,XP_011531238.1,2.00E-148,433,7.00E-149,433
XP_011250447.1,XP_011535174.1,2.00E-144,422,5.00E-145,423
XP_011250447.1,XP_011535178.1,2.00E-144,422,5.00E-145,423
XP_011250447.1,XP_011535179.1,2.00E-144,422,5.00E-145,423
XP_011250447.1,XP_011535180.1,4.00E-145,422,1.00E-145,422
XP_011250447.1,XP_011535181.1,4.00E-145,422,1.00E-145,422
XP_011250447.1,XP_011535182.1,4.00E-145,422,1.00E-145,422
XP_011250447.1,XP_011535183.1,4.00E-145,422,1.00E-145,422
XP_011250447.1,XP_011535184.1,4.00E-145,422,1.00E-145,422
XP_011250447.1,XP_011535185.1,4.00E-145,422,1.00E-145,422
XP_011250447.1,XP_016859884.1,2.00E-145,427,5.00E-146,427
XP_011250447.1,XP_016859885.1,2.00E-145,426,6.00E-146,426
XP_011250447.1,XP_016859886.1,3.00E-145,423,8.00E-146,423
XP_011250447.1,XP_016876870.1,5.00E-144,422,1.00E-144,423
XP_011250447.1,XP_016876871.1,2.00E-144,422,5.00E-145,423
XP_011250447.1,XP_016876872.1,7.00E-145,423,2.00E-145,423
XP_011250447.1,XP_016876873.1,4.00E-145,422,1.00E-145,422
XP_011250447.1,XP_016876874.1,4.00E-145,422,1.00E-145,422
XP_011250447.1,XP_016876875.1,4.00E-145,422,1.00E-145,422
XP_011250447.1,XP_016876876.1,4.00E-145,422,1.00E-145,422
XP_011250447.1,XP_024305405.1,4.00E-145,422,1.00E-145,422
XP_011250450.1,NP_001028729.1,1.00E-148,431,3.00E-149,431
XP_011250450.1,NP_002697.1,1.00E-148,434,4.00E-149,434
XP_011250450.1,NP_066283.1,3.00E-145,422,4.00E-146,423
XP_011250450.1,NP_808821.2,2.00E-144,423,2.00E-145,424
XP_011250450.1,NP_808907.1,2.00E-148,431,6.00E-149,431
XP_011250450.1,XP_005267836.1,3.00E-145,422,4.00E-146,423
XP_011250450.1,XP_005267838.1,3.00E-145,422,4.00E-146,423
XP_011250450.1,XP_011531238.1,5.00E-148,432,1.00E-148,432
XP_011250450.1,XP_011535174.1,1.00E-144,423,3.00E-145,423
XP_011250450.1,XP_011535178.1,1.00E-144,423,3.00E-145,423
XP_011250450.1,XP_011535179.1,1.00E-144,423,3.00E-145,423
XP_011250450.1,XP_011535180.1,3.00E-145,422,4.00E-146,423
XP_011250450.1,XP_011535181.1,3.00E-145,422,4.00E-146,423
XP_011250450.1,XP_011535182.1,3.00E-145,422,4.00E-146,423
XP_011250450.1,XP_011535183.1,3.00E-145,422,4.00E-146,423
XP_011250450.1,XP_011535184.1,3.00E-145,422,4.00E-146,423
XP_011250450.1,XP_011535185.1,3.00E-145,422,4.00E-146,423
XP_011250450.1,XP_016859884.1,1.00E-145,427,4.00E-146,427
XP_011250450.1,XP_016859885.1,1.00E-144,424,3.00E-145,424
XP_011250450.1,XP_016859886.1,3.00E-145,423,7.00E-146,423
XP_011250450.1,XP_016876870.1,2.00E-144,423,5.00E-145,423
XP_011250450.1,XP_016876871.1,1.00E-144,423,3.00E-145,423
XP_011250450.1,XP_016876872.1,4.00E-145,423,8.00E-146,423
XP_011250450.1,XP_016876873.1,3.00E-145,422,4.00E-146,423
XP_011250450.1,XP_016876874.1,3.00E-145,422,4.00E-146,423
XP_011250450.1,XP_016876875.1,3.00E-145,422,4.00E-146,423
XP_011250450.1,XP_016876876.1,3.00E-145,422,4.00E-146,423
XP_011250450.1,XP_024305405.1,3.00E-145,422,4.00E-146,423
XP_011250465.1,NP_001317088.1,1.00E-90,278,2.00E-91,278
XP_011250465.1,NP_056325.2,2.00E-90,278,4.00E-91,278
XP_011250465.1,XP_005256652.2,8.00E-89,276,2.00E-89,276
XP_011250465.1,XP_016879915.1,2.00E-90,278,4.00E-91,278
XP_011250467.1,NP_001651.1,1.00E-111,321,3.00E-112,321
XP_011250467.1,NP_001653.1,9.00E-112,322,2.00E-112,322
XP_011250474.1,NP_005678.3,0,755,0,755
XP_011250475.1,NP_937862.1,2.00E-65,212,4.00E-67,214
XP_011250476.1,NP_003327.2,4.00E-98,285,9.00E-99,285
XP_011250476.1,NP_003328.1,6.00E-96,279,1.00E-96,279
XP_011250479.1,NP_001017992.1,0,716,0,716
XP_011250479.1,NP_001091.1,0,727,0,727
XP_011250479.1,NP_001092.1,0,752,0,752
XP_011250479.1,NP_001135417.1,0,730,0,730
XP_011250479.1,NP_001186883.1,0,747,0,747
XP_011250479.1,NP_001307784.1,0,730,0,730
XP_011250479.1,NP_001604.1,0,730,0,730
XP_011250479.1,NP_001605.1,0,747,0,747
XP_011250479.1,NP_001606.1,0,730,0,730
XP_011250479.1,NP_005150.1,0,729,0,729
XP_011250481.1,NP_001363156.1,0,852,0,858
XP_011250481.1,NP_003875.3,0,810,0,837
XP_011250481.1,NP_066564.2,0,832,0,862
XP_011250482.1,NP_001363156.1,0,865,0,856
XP_011250482.1,NP_066564.2,0,845,0,860
XP_011250488.1,NP_001026788.1,3.00E-21,84,8.00E-22,84
XP_011250489.1,NP_068595.3,8.00E-74,227,2.00E-74,227
XP_011250490.1,NP_057673.2,2.00E-28,113,5.00E-29,113
XP_011250495.1,NP_066191.1,3.00E-58,197,6.00E-59,197
XP_011250495.1,XP_005246988.1,3.00E-58,197,6.00E-59,197
XP_011250495.1,XP_006712882.1,3.00E-58,197,6.00E-59,197
XP_011250495.1,XP_011510387.1,3.00E-58,197,6.00E-59,197
XP_011250496.1,NP_001002924.2,1.00E-91,271,2.00E-92,271
XP_011250498.1,NP_001275.1,5.00E-108,313,1.00E-108,313
XP_011250498.1,NP_001351048.1,2.00E-103,302,5.00E-104,302
XP_011250498.1,NP_005820.1,6.00E-108,313,1.00E-108,313
XP_011250499.1,NP_001275.1,5.00E-108,313,1.00E-108,313
XP_011250499.1,NP_001351048.1,2.00E-103,302,5.00E-104,302
XP_011250499.1,NP_005820.1,6.00E-108,313,1.00E-108,313
XP_011250501.1,NP_001002924.2,2.00E-90,266,6.00E-91,266
XP_011250502.1,NP_001002924.2,2.00E-90,266,6.00E-91,266
XP_011250503.1,NP_066990.3,7.00E-59,192,6.00E-60,193
XP_011250504.1,NP_000448.3,8.00E-137,408,1.00E-140,416
XP_011250504.1,NP_001025174.1,1.00E-137,409,1.00E-141,418
XP_011250504.1,NP_001025175.1,7.00E-137,405,2.00E-142,417
XP_011250504.1,NP_001245284.1,6.00E-137,408,8.00E-141,417
XP_011250504.1,NP_001274111.1,3.00E-137,408,2.00E-141,417
XP_011250504.1,NP_001274112.1,2.00E-136,406,2.00E-140,415
XP_011250504.1,NP_001274113.1,3.00E-136,404,4.00E-142,417
XP_011250504.1,NP_001317490.1,8.00E-137,406,6.00E-141,414
XP_011250504.1,NP_004124.5,1.00E-136,407,1.00E-140,416
XP_011250504.1,NP_787110.2,5.00E-137,408,8.00E-141,416
